id;type;loc_num;adresse;cp;commune;code_insee;longueur;largeur;lim_vitesse;sens;h_debut;h_fin;tonnage;geo_shape;geo_point_2d
92051020;LIVRAISON;ANGLE;15 BOULEVARD JEAN MERMOZ;92200;NEUILLY SUR SEINE;92051;10.0;0.0;50;DOUBLE;07:00;15:00;0.0;"{""coordinates"": [2.2689167501343586, 48.8857666145398], ""type"": ""Point""}";48.8857666145398,2.2689167501343586
92051022;LIVRAISON;DROIT;106 AVENUE ACHILLE PERETTI;92200;NEUILLY SUR SEINE;92051;15.0;0.0;50;DOUBLE;07:00;15:00;0.0;"{""coordinates"": [2.266818495513763, 48.88498478411867], ""type"": ""Point""}";48.88498478411867,2.266818495513763
92051029;LIVRAISON;DROIT;132 AVENUE ACHILLE PERETTI;92200;NEUILLY SUR SEINE;92051;20.0;0.0;50;DOUBLE;07:00;15:00;0.0;"{""coordinates"": [2.264457264472956, 48.88553004126086], ""type"": ""Point""}";48.88553004126086,2.264457264472956
92050019;LIVRAISON;DROIT;58 RUE MAURICE THOREZ;92000;NANTERRE;92050;10.0;0.0;30;UNIQUE;00:00;00:00;0.0;"{""coordinates"": [2.195833993329361, 48.89362212398371], ""type"": ""Point""}";48.89362212398371,2.195833993329361
92050022;LIVRAISON;DROIT;4 BOULEVARD DE PESARO;92000;NANTERRE;92050;10.0;0.0;50;UNIQUE;00:00;00:00;0.0;"{""coordinates"": [2.2197948207042564, 48.89712339767789], ""type"": ""Point""}";48.89712339767789,2.2197948207042564
92050030;LIVRAISON;FACE;39 BOULEVARD DES PROVINCES FRANCAISES;92000;NANTERRE;92050;22.0;0.0;50;DOUBLE;00:00;00:00;0.0;"{""coordinates"": [2.216258454002644, 48.90123265086051], ""type"": ""Point""}";48.90123265086051,2.216258454002644
92050032;LIVRAISON;DROIT;3 ALLEE GEORGES COURTELINE;92000;NANTERRE;92050;12.0;0.0;30;UNIQUE;00:00;00:00;0.0;"{""coordinates"": [2.2091817590527563, 48.89901399157854], ""type"": ""Point""}";48.89901399157854,2.2091817590527563
92050034;LIVRAISON;FACE;2 RUE SALEMBIER;92000;NANTERRE;92050;6.0;0.0;30;UNIQUE;00:00;00:00;0.0;"{""coordinates"": [2.2124044813066495, 48.88591926486725], ""type"": ""Point""}";48.88591926486725,2.2124044813066495
92050040;LIVRAISON;DROIT;12 RUE DES 3 FONTANOTS;92000;NANTERRE;92050;10.0;0.0;50;UNIQUE;00:00;00:00;0.0;"{""coordinates"": [2.2193369639461054, 48.896484953917074], ""type"": ""Point""}";48.896484953917074,2.2193369639461054
92050043;LIVRAISON;DROIT;87 RUE DES 3 FONTANOTS;92000;NANTERRE;92050;12.0;0.0;50;DOUBLE;00:00;00:00;0.0;"{""coordinates"": [2.2241449166840357, 48.89545315778419], ""type"": ""Point""}";48.89545315778419,2.2241449166840357
92050046;LIVRAISON;DROIT;118 RUE DES 3 FONTANOTS;92000;NANTERRE;92050;10.0;0.0;50;UNIQUE;00:00;00:00;0.0;"{""coordinates"": [2.225527284729334, 48.894520580421656], ""type"": ""Point""}";48.894520580421656,2.225527284729334
92050052;LIVRAISON;DROIT;2 RUE DE CHANZY;92000;NANTERRE;92050;10.0;0.0;30;UNIQUE;00:00;00:00;0.0;"{""coordinates"": [2.195578213215427, 48.889021209801555], ""type"": ""Point""}";48.889021209801555,2.195578213215427
92044182;LIVRAISON;DROIT;43 RUE DE VILLIERS;92300;LEVALLOIS PERRET;92044;10.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.2806237965895404, 48.88918956977398], ""type"": ""Point""}";48.88918956977398,2.2806237965895404
92046001;LIVRAISON;DROIT;116 AVENUE PIERRE BROSSOLETTE;92240;MALAKOFF;92046;5.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.3066565621373813, 48.81690504378323], ""type"": ""Point""}";48.81690504378323,2.3066565621373813
92046007;LIVRAISON;DROIT;114 BOULEVARD GABRIEL PERI;92240;MALAKOFF;92046;8.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.3035074318092867, 48.8191756479298], ""type"": ""Point""}";48.8191756479298,2.3035074318092867
92046013;LIVRAISON;DROIT;35 RUE SAVIER;92240;MALAKOFF;92046;9.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.3076909204203018, 48.82129051350193], ""type"": ""Point""}";48.82129051350193,2.3076909204203018
92046016;LIVRAISON;DROIT;11 RUE JEAN JAURES;92240;MALAKOFF;92046;30.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.3025747423847838, 48.821370058358305], ""type"": ""Point""}";48.821370058358305,2.3025747423847838
92046021;LIVRAISON;DROIT;55 AVENUE AUGUSTIN DUMONT;92240;MALAKOFF;92046;16.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.3040066317441728, 48.81711421490371], ""type"": ""Point""}";48.81711421490371,2.3040066317441728
92046023;LIVRAISON;DROIT;23 RUE GUY MOQUET;92240;MALAKOFF;92046;14.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.300779990990386, 48.81698629444483], ""type"": ""Point""}";48.81698629444483,2.300779990990386
92046024;LIVRAISON;DROIT;45 RUE PIERRE VALETTE;92240;MALAKOFF;92046;5.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.3014118829389076, 48.81694999424513], ""type"": ""Point""}";48.81694999424513,2.3014118829389076
92046027;LIVRAISON;DROIT;55 RUE PAUL VAILLANT COUTURIER;92240;MALAKOFF;92046;10.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.2956518200872855, 48.81398346350575], ""type"": ""Point""}";48.81398346350575,2.2956518200872855
92046031;LIVRAISON;DROIT;131 RUE PAUL VAILLANT COUTURIER;92240;MALAKOFF;92046;7.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.292165460519932, 48.81684899876873], ""type"": ""Point""}";48.81684899876873,2.292165460519932
92048001;LIVRAISON;DROIT;55 RUE DE BELGIQUE;92190;MEUDON;92048;6.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.247774156936263, 48.80955113475186], ""type"": ""Point""}";48.80955113475186,2.247774156936263
92048012;LIVRAISON;DROIT;6 RUE DE LA VERRERIE;92190;MEUDON;92048;7.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.235243738140445, 48.82026112374715], ""type"": ""Point""}";48.82026112374715,2.235243738140445
